,,,,,,,,macOS,,,,,,,,
,,SF Symbol Hierarchical Default Light,,,SF Symbol Hierarchical Default Dark,,,,Standard,,,,Increased Contrast,,,
Color Name,Symbol App Ready,Pimary,Secondary,Tertiary,Pimary,Secondary,Tertiary,Color Name,Light Standard,Light Vibrant Standard,Dark Standard,Dark Vibrant Standard,Light Increased Contrast,Light Vibrant Increased Contrast,Dark Increased Contrast,Dark Vibrant Increased Contrast
SYSTEM COLORS,,,,,,,,,,,,,,,,
PRIMARY COLORS,,Opacity,Opacity,Opacity,Opacity,Opacity,Opacity,,RGB,RGB,RGB,RGB,RGB,RGB,RGB,RGB
red,TRUE,100,50,18,100,50,20,systemRedColor,"255, 59, 48","255, 49, 38","255, 69, 58","255, 79, 68","215, 0, 21","194, 6, 24","255, 105, 97","255, 65, 54"
orange,TRUE,100,50,18,100,50,25,systemOrangeColor,"255, 149, 0","245, 139, 0","255, 159, 10","255, 169, 20","201, 52, 0","173, 58, 0","255, 179, 64","255, 179, 64"
yellow,TRUE,100,50,20,100,50,25,systemYellowColor,"255, 204, 0","245, 194, 0","255, 214, 10","255, 224, 20","160, 90, 0","146, 81, 0","255, 212, 38","255, 212, 38"
green,TRUE,100,50,18,100,50,25,systemGreenColor,"40, 205, 65","30, 195, 55","50, 215, 75","60, 225, 85","0, 125, 27","0, 112, 24","49, 222, 75","49, 222, 75"
mint,TRUE,100,50,18,100,50,25,systemMintColor,"0, 199, 190","0, 189, 180","102, 212, 207","108, 224, 219","12, 129, 123","11, 117, 112","102, 212, 207","102, 212, 207"
teal,TRUE,100,50,18,100,50,25,systemTealColor,"89, 173, 196","46, 167, 189","106, 196, 220","68, 212, 237","0, 130, 153","0, 119, 140","93, 230, 255","93, 230, 255"
cyan,TRUE,100,50,18,100,50,25,systemCyanColor,"85, 190, 240","65, 175, 220","90, 200, 245","90, 205, 250","0, 113, 164","0, 103, 150","112, 215, 255","112, 215, 255"
blue,TRUE,100,50,18,100,50,25,systemBlueColor,"0, 122, 255","0, 112, 245","10, 132, 255","20, 142, 255","0, 64, 221","0, 64, 221","64, 156, 255","64, 156, 255"
indigo,TRUE,100,50,18,100,50,25,systemIndigoColor,"88, 86, 214","84, 82, 204","94, 92, 230","99, 97, 242","54, 52, 163","54, 52, 163","125, 122, 255","125, 122, 255"
purple,TRUE,100,50,18,100,50,25,systemPurpleColor,"175, 82, 222","159, 75, 201","191, 90, 242","204, 101, 255","173, 68, 171","173, 68, 171","218, 143, 255","218, 143, 255"
pink,TRUE,100,50,18,100,50,20,systemPinkColor,"255, 45, 85","245, 35, 75","255, 55, 95","255, 65, 105","211, 15, 69","193, 16, 50","255, 100, 130","255, 58, 95"
brown,TRUE,100,50,18,100,50,25,systemBrownColor,"162, 132, 94","152, 122, 84","172, 142, 104","182, 152, 114","127, 101, 69","119, 93, 59","181, 148, 105","181, 148, 105"
white,TRUE,100,50,18,100,50,25,white,"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
gray,TRUE,100,50,18,100,50,25,systemGrayColor,"142, 142, 147","132, 132, 137","152, 152, 157","162, 162, 167","105, 105, 110","97, 97 101","152, 152, 157","152, 152, 157"
black,TRUE,100,50,18,100,50,25,black,"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
CONTRAST COLORS,,,,,,,,,"R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A","R, G, B, A"
primary,TRUE,,,,,,,labelColor,"0, 0, 0, 85","76, 76, 76, 100","255, 255, 255, 85","229, 229, 229, 100","0, 0, 0, 100","0, 0, 0, 100","255, 255, 255, 100","255, 255, 255, 100"
secondary,TRUE,,,,,,,secondaryLabelColor,"0, 0, 0, 50","128, 128, 128, 100","255, 255, 255, 55","124, 124, 124, 100","0, 0, 0, 76","0, 0, 0, 76","255, 255, 255, 70","255, 255, 255, 70"
tertiary,TRUE,,,,,,,tertiaryLabelColor,"0, 0, 0, 25","191, 191, 191, 100","255, 255, 255, 25","65, 65, 65, 100","0, 0, 0, 56","0, 0, 0, 56","255, 255, 255, 50","255, 255, 255, 50"
quatenary,TRUE,,,,,,,quaternaryLabelColor,"0, 0, 0, 10","230, 230, 230, 100","255, 255, 255, 10","35, 35, 35, 100","0, 0, 0, 35","0, 0, 0, 35","255, 255, 255, 30","255, 255, 255, 30"